,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor
110,28.00, 65.00,Cellina,AA16107510001,Carbondeep Men's Cleansing Foam 100g Pure (4710221260119),2-day group shipment,,Cellina - Carbondeep Men's Cleansing Foam 100g Pure (4710221260119),,20,Jadora 日本美妝護膚
111,99.00, 158.00,L'Oreal Paris,AA16107510001,Men Expert  Volcano Foam Twin Packset*661060,2-day group shipment,,L'Oreal Paris - Men Expert  Volcano Foam Twin Packset*661060,,30,L’Oreal Paris HK Flagship Store
112,473.00, 676.00,LAB SERIES,AA16107520001,Lab Series Age Rescue + Face Lotion  -[Parallel Import Product],2-day group shipment,4,LAB SERIES - Lab Series Age Rescue + Face Lotion  -[Parallel Import Product],1,200,Beautique
113,198.00, 330.00,L'Oreal Paris,AA16107510001,[Parallel Import Product],2-day group shipment,,L'Oreal Paris - Men Expert Pure & Matte Volcano 3pcs Set - [Parallel Import Product],,10,Beautifier
114,305.00, 450.00,Biotherm,AA16101500001,Aquapower Lotion 200ml,2-day group shipment,,Biotherm - Aquapower Lotion 200ml,,,NANA MALL
115,59.00, 128.00,ISHIZAWA LAB 石澤研究所,AA16107520001,Keana Nadeshiko Pore Care Face Mask for Men 10pcs (Blue)  (Parallel Import),2-day group shipment,4.5,ISHIZAWA LAB 石澤研究所 - Keana Nadeshiko Pore Care Face Mask for Men 10pcs (Blue)  (Parallel Import),2,100,Pretties HK
116,49.00, 89.00,Alfresco,AA16107520001,Anti Bug Bite Moisturizer 50ml,2-day group shipment,5,Alfresco - Alfresco - Anti Bug Bite Moisturizer 50ml,1,,iRainbow
117,446.00, 700.00,Shiseido,AA16107520001,Men Active Energizing Concentrate  -[Parallel Import Product],2-day group shipment,,Shiseido - Men Active Energizing Concentrate  -[Parallel Import Product],,30,Beautique
118,360.00, 583.00,LAB SERIES,AA16107520001,Lab Series Max LS Skin Recharging Water Lotion  -[Parallel Import Product],2-day group shipment,,LAB SERIES - Lab Series Max LS Skin Recharging Water Lotion  -[Parallel Import Product],,100,Beautique
119,65.00, 89.00,L'Oreal Paris,AA16107510001,Men Expert Hydra Power Watery Foaming Gel 100ml [Parallel Import] (6955818271286),2-day group shipment,3,L'Oreal Paris - Men Expert Hydra Power Watery Foaming Gel 100ml [Parallel Import] (6955818271286),1,40,Royal Cosmetics
120,191.00, 388.00,Kiehl's,AA16107520001,Facial Fuel Energizing Tonic  -[Parallel Import Product],2-day group shipment,5,Kiehl's - Facial Fuel Energizing Tonic  -[Parallel Import Product],1,100,Beautique
